City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
miramar,25.99,-80.23,77.0,78,90,8.05,US,1609724613
alofi,-19.06,-169.92,84.2,79,75,3.36,NU,1609724122
singleton,-32.57,151.18,82.99,76,100,8.7,AU,1609724810
narasannapeta,18.42,84.05,66.33,71,13,6.02,IN,1609724810
belaya gora,68.53,146.42,-23.13,86,100,5.77,RU,1609724416
broome,42.25,-75.83,32.0,98,100,3.0,US,1609724416
bogotol,56.21,89.53,-12.26,90,100,17.92,RU,1609724811
severo-kurilsk,50.68,156.12,23.83,92,99,25.75,RU,1609724416
haapiti,-17.57,-149.87,87.8,52,40,13.87,PF,1609724417
san jose,37.34,-121.89,55.99,71,75,4.7,US,1609724778
braco do norte,-28.27,-49.17,62.71,91,14,2.55,BR,1609724812
zheleznodorozhnyy,55.75,38.0,32.0,98,90,8.95,RU,1609724812
cabedelo,-6.98,-34.83,80.6,83,20,8.05,BR,1609724130
hualmay,-11.1,-77.61,69.71,83,95,7.43,PE,1609724418
sainte-anne-des-monts,49.12,-66.49,23.0,79,100,6.93,CA,1609724812
nizhniy kuranakh,58.84,125.49,-18.47,85,100,2.26,RU,1609724813
barabinsk,55.36,78.36,-25.6,87,0,2.19,RU,1609724813
airai,-8.93,125.41,72.93,79,66,2.04,TL,1609724418
isangel,-19.55,169.27,79.27,86,100,15.03,VU,1609724419
chardara,41.25,67.97,26.4,86,0,3.96,KZ,1609724814
san pedro,14.35,121.02,84.2,70,40,1.12,PH,1609724419
peniche,39.36,-9.38,46.0,76,51,5.01,PT,1609724814
tuktoyaktuk,69.45,-133.04,-7.6,83,75,6.93,CA,1609724375
lompoc,34.64,-120.46,53.6,93,90,5.82,US,1609724212
ilulissat,69.22,-51.1,19.4,73,100,13.87,GL,1609724420
demba,-5.51,22.27,68.54,100,100,1.28,CD,1609724815
mar del plata,-38.0,-57.56,73.4,64,0,6.93,AR,1609724168
hilo,19.73,-155.09,80.6,61,20,10.29,US,1609724420
marzuq,14.4,46.47,55.38,53,0,3.31,YE,1609724421
bubaque,11.28,-15.83,79.65,61,0,10.09,GW,1609724421
bonthe,7.53,-12.51,78.84,80,0,5.64,SL,1609724816
souillac,-20.52,57.52,73.4,94,75,6.93,MU,1609724421
katobu,-4.94,122.53,81.95,83,100,3.78,ID,1609724816
ust-kut,56.79,105.77,-15.43,85,100,6.17,RU,1609724817
koulikoro,14.0,-7.75,71.98,24,0,10.02,ML,1609724817
sur,22.57,59.53,66.63,41,0,15.77,OM,1609724817
galle,6.04,80.22,77.04,85,71,5.55,LK,1609724675
cabo rojo,18.09,-67.15,75.0,83,7,1.99,PR,1609724817
tukan,53.84,57.46,3.49,94,94,2.93,RU,1609724818
portland,45.52,-122.68,50.0,81,90,5.82,US,1609724246
vaini,-21.2,-175.2,84.2,79,75,12.75,TO,1609724168
luocheng,29.38,104.03,44.78,64,93,1.34,CN,1609724818
sandpoint,48.28,-116.55,35.6,93,90,3.36,US,1609724819
sol-iletsk,51.16,54.99,10.87,96,87,5.77,RU,1609724665
barddhaman,23.25,87.85,63.95,47,26,3.74,IN,1609724819
kayes,14.0,-11.0,74.71,21,0,5.99,ML,1609724820
cayenne,4.93,-52.33,77.0,100,90,10.2,GF,1609724387
swan hill,-35.34,143.55,79.11,37,17,8.61,AU,1609724820
presidente epitacio,-21.76,-52.12,76.24,70,4,10.22,BR,1609724820
puerto leguizamo,-0.19,-74.78,74.91,83,92,2.21,CO,1609724821
kichera,55.94,110.1,-12.21,82,100,2.75,RU,1609724821
baruun-urt,46.68,113.28,-19.59,82,19,10.22,MN,1609724821
bambous virieux,-20.34,57.76,73.4,94,75,6.93,MU,1609724426
ulaangom,49.98,92.07,-27.63,82,58,1.5,MN,1609724426
vostok,46.49,135.88,-8.27,83,40,6.58,RU,1609724426
margate,51.38,1.39,43.0,65,100,8.01,GB,1609724822
campbell river,50.02,-125.24,37.99,100,20,2.62,CA,1609724822
kiunga,-6.12,141.29,79.59,87,100,1.9,PG,1609724427
belmonte,-15.86,-38.88,77.0,83,0,4.7,BR,1609724822
fairbanks,64.84,-147.72,1.4,64,75,10.29,US,1609724133
marsa matruh,31.35,27.25,51.8,93,99,7.61,EG,1609724823
niquelandia,-14.47,-48.46,71.13,87,34,4.12,BR,1609724823
port macquarie,-31.43,152.92,82.99,71,100,1.99,AU,1609724823
coahuayana,18.73,-103.68,73.4,64,40,1.61,MX,1609724428
salalah,17.02,54.09,66.2,45,0,1.12,OM,1609724429
wuwei,37.93,102.64,11.46,87,72,3.85,CN,1609724824
mahebourg,-20.41,57.7,73.4,94,75,6.93,MU,1609724429
nantucket,41.28,-70.1,42.8,75,90,12.75,US,1609724429
nahavand,34.19,48.38,31.24,86,26,2.98,IR,1609724825
rockledge,28.35,-80.73,66.2,72,90,6.93,US,1609724825
invermere,50.52,-116.04,27.0,93,7,3.29,CA,1609724714
shenjiamen,29.96,122.3,53.08,73,60,16.89,CN,1609724826
ostrovnoy,68.05,39.51,9.37,94,5,6.87,RU,1609724430
saldanha,-33.01,17.94,71.6,64,0,4.7,ZA,1609724267
saint-philippe,-21.36,55.77,75.2,73,0,8.05,RE,1609724220
icod de los vinos,28.37,-16.71,64.0,77,100,1.57,ES,1609724827
dongying,37.46,118.49,31.93,92,3,2.91,CN,1609724827
lagoa,39.05,-27.98,62.55,86,100,32.68,PT,1609724432
kattivakkam,13.22,80.32,73.4,100,75,2.24,IN,1609724828
fortuna,40.6,-124.16,57.0,82,90,5.82,US,1609724432
przhevalskoye,55.51,31.85,31.87,99,100,5.23,RU,1609724828
takaungu,-3.68,39.86,76.75,86,100,5.73,KE,1609724828
alugan,12.22,125.48,81.36,84,18,16.44,PH,1609724828
basqal,40.76,48.39,33.8,95,90,9.17,AZ,1609724829
westport,41.14,-73.36,35.6,93,90,12.75,US,1609724829
knysna,-34.04,23.05,68.0,100,73,9.17,ZA,1609724829
hamilton,39.18,-84.53,36.0,80,90,6.93,US,1609724154
oyama,36.3,139.8,46.0,51,40,2.24,JP,1609724830
trelew,-43.25,-65.31,63.5,52,2,13.56,AR,1609724830
ixtapa,20.7,-105.2,68.0,88,5,2.28,MX,1609724612
luanda,-8.84,13.23,77.0,83,40,4.7,AO,1609724830
nome,64.5,-165.41,-0.4,59,1,9.17,US,1609724240
ginir,7.13,40.7,55.11,57,0,2.17,ET,1609724831
monrovia,6.3,-10.8,77.0,94,40,7.02,LR,1609724435
vyazma,55.21,34.3,26.98,99,100,7.87,RU,1609724831
zaria,11.11,7.72,69.76,23,0,5.75,NG,1609724831
jaguaruna,-28.61,-49.03,67.87,83,0,8.5,BR,1609724832
seymchan,62.88,152.43,-21.21,85,100,2.93,RU,1609724832
sao filipe,14.9,-24.5,73.87,76,54,4.72,CV,1609724436
altay,47.87,88.12,-12.66,61,0,3.18,CN,1609724436
honningsvag,70.98,25.97,37.02,85,100,20.58,NO,1609724437
katsuura,35.13,140.3,44.6,48,40,2.24,JP,1609724437
siloam springs,36.19,-94.54,42.8,70,75,4.7,US,1609724673
dawlatabad,36.41,64.91,24.62,89,0,2.15,AF,1609724833
denpasar,-8.65,115.22,77.0,94,75,3.36,ID,1609724833
vologda,59.22,39.89,14.34,97,87,4.41,RU,1609724834
jijiga,9.35,42.8,55.92,39,0,5.35,ET,1609724834
meulaboh,4.14,96.13,79.84,75,74,4.0,ID,1609724438
severnyy,50.68,36.55,26.6,100,90,11.18,RU,1609724834
avarua,-21.21,-159.78,84.2,70,41,17.22,CK,1609724438
pietarsaari,63.65,22.68,28.99,100,90,4.7,FI,1609724835
nieuw nickerie,5.95,-56.98,77.04,83,100,4.65,SR,1609724835
klamath falls,42.22,-121.78,41.0,80,90,10.29,US,1609724835
vila velha,-20.33,-40.29,81.0,94,40,3.36,BR,1609724439
gilgit,35.92,74.31,31.6,61,100,1.81,PK,1609724651
karoi,-16.81,29.69,61.29,95,37,6.93,ZW,1609724836
kailua,21.4,-157.74,78.8,65,40,13.87,US,1609724836
marhaura,25.97,84.87,55.4,87,40,4.14,IN,1609724836
college,64.86,-147.8,1.4,64,75,10.29,US,1609724440
san roque,36.21,-5.38,46.4,75,0,8.05,ES,1609724837
kedrovoye,57.16,60.57,8.6,78,40,15.66,RU,1609724837
gorontalo,0.54,123.06,85.5,66,100,2.62,ID,1609724837
xinzhi,36.5,111.7,34.43,65,4,10.45,CN,1609724838
the valley,18.22,-63.06,78.01,73,20,9.17,AI,1609724150
ekangala,-25.7,28.75,69.01,61,64,6.35,ZA,1609724838
luderitz,-26.65,15.16,68.0,77,100,2.3,NA,1609724442
hovd,48.01,91.64,-9.38,68,0,6.46,MN,1609724442
belgrade,44.8,20.47,46.4,81,0,9.17,RS,1609724617
stornoway,58.21,-6.39,30.2,92,0,6.55,GB,1609724839
hoa binh,20.81,105.34,60.8,51,94,3.36,VN,1609724839
belyy yar,53.6,91.39,-9.4,83,90,11.9,RU,1609724839
hauterive,46.09,3.45,30.2,92,90,1.21,FR,1609724840
vestmanna,62.16,-7.17,42.8,93,100,17.22,FO,1609724840
menongue,-14.66,17.69,61.47,86,100,3.65,AO,1609724444
kanniyakumari,8.08,77.57,78.69,82,96,22.01,IN,1609724840
sept-iles,50.2,-66.38,26.6,73,100,6.93,CA,1609724444
porto novo,6.5,2.6,82.4,83,40,10.29,BJ,1609724444
asfi,32.3,-9.24,50.95,67,86,17.2,MA,1609724841
beian,63.66,9.57,24.8,85,20,18.34,NO,1609724841
manokwari,-0.87,134.08,82.76,72,100,1.32,ID,1609724841
nemuro,43.32,145.57,23.0,57,20,2.24,JP,1609724445
edendale,-29.65,30.31,64.0,96,13,4.68,ZA,1609724842
crotone,39.09,17.12,43.0,73,34,3.0,IT,1609724842
stavrovo,56.13,40.01,25.68,98,100,6.76,RU,1609724842
ponta do sol,32.67,-17.1,62.6,72,75,13.87,PT,1609724446
ulaanbaatar,47.91,106.88,-38.2,58,2,1.57,MN,1609724836
tromso,69.65,18.96,37.4,91,75,26.4,NO,1609724843
udachnyy,66.42,112.4,-41.8,57,75,6.71,RU,1609724679
kavaratti,10.57,72.64,81.91,70,0,7.99,IN,1609724844
shakawe,-18.37,21.85,67.26,93,81,5.44,BW,1609724844
aswan,24.09,32.91,59.05,36,0,8.21,EG,1609724364
evensk,61.95,159.23,3.47,86,100,12.06,RU,1609724845
morondava,-20.28,44.28,81.07,75,3,4.45,MG,1609724448
qiongshan,20.01,110.35,66.2,59,40,11.18,CN,1609724845
kangaatsiaq,68.31,-53.46,14.68,96,100,7.0,GL,1609724687
sagaing,21.88,95.98,55.4,87,100,2.24,MM,1609724706
swedru,5.54,-0.7,80.6,94,40,6.93,GH,1609724846
sitka,57.05,-135.33,41.0,80,75,4.7,US,1609724449
pacific grove,36.62,-121.92,55.4,82,20,6.93,US,1609724450
bogale,16.28,95.4,73.24,61,100,8.05,MM,1609724846
palaikastron,35.2,26.25,60.01,83,100,13.6,GR,1609724657
sembe,1.65,14.58,72.3,84,98,1.45,CG,1609724847
saskylakh,71.92,114.08,-14.26,87,98,9.28,RU,1609724450
tsabong,-26.02,22.4,75.85,56,59,9.22,BW,1609724847
ceres,37.59,-120.96,53.6,76,1,1.99,US,1609724847
puerto colombia,10.99,-74.95,78.8,78,0,16.11,CO,1609724847
halifax,44.65,-63.57,30.99,80,100,4.7,CA,1609724710
tilichiki,60.47,166.1,-2.09,90,100,10.25,RU,1609724848
gushikawa,26.35,127.87,69.8,82,90,9.17,JP,1609724452
pisco,-13.7,-76.22,69.8,88,0,16.11,PE,1609724452
wajir,1.75,40.06,74.61,77,63,11.5,KE,1609724849
bertoua,4.58,13.68,66.65,45,96,2.42,CM,1609724849
qaracala,39.81,48.95,42.22,88,100,5.08,AZ,1609724849
anadyr,64.75,177.48,-4.0,70,0,2.24,RU,1609724453
atocha,-20.93,-66.23,51.33,64,81,8.86,BO,1609724850
dalvik,65.97,-18.53,46.4,65,90,39.15,IS,1609724850
havre-saint-pierre,50.23,-63.6,21.2,85,90,5.82,CA,1609724850
conde,-7.26,-34.91,80.6,83,20,8.05,BR,1609724850
henties bay,-22.12,14.28,68.0,88,100,4.5,NA,1609724851
nihommatsu,37.58,140.43,37.0,80,75,3.36,JP,1609724851
washougal,45.58,-122.35,50.0,81,75,4.7,US,1609724851
komsomolskiy,40.43,71.72,21.2,85,90,0.96,UZ,1609724455
lashio,22.93,97.75,61.81,68,55,0.38,MM,1609724727
egvekinot,66.32,-179.17,-8.21,86,3,19.37,RU,1609724455
yulara,-25.24,130.99,80.6,34,0,12.75,AU,1609724456
bonaventure,48.05,-65.49,23.0,85,100,5.82,CA,1609724852
loreto,22.27,-101.97,51.08,37,31,4.0,MX,1609724852
amurzet,47.7,131.1,-3.89,80,0,7.23,RU,1609724853
laguna,38.42,-121.42,55.0,81,20,4.7,US,1609724724
akyab,20.15,92.9,68.36,64,91,6.46,MM,1609724853
santa luzia,-19.77,-43.85,66.2,100,75,5.82,BR,1609724853
otjimbingwe,-22.35,16.13,69.46,63,95,1.54,NA,1609724853
canutama,-6.53,-64.38,73.81,95,15,2.71,BR,1609724854
mazara del vallo,37.66,12.59,51.8,71,20,13.87,IT,1609724812
eugene,44.05,-123.09,51.01,93,90,3.36,US,1609724786
clarence town,-32.58,151.78,82.0,74,100,8.05,AU,1609724854
saryozek,44.36,77.98,-1.86,69,0,2.82,KZ,1609724855
awbari,26.59,12.78,57.33,54,0,8.19,LY,1609724855
necochea,-38.55,-58.74,71.01,78,100,11.95,AR,1609724459
ahipara,-35.17,173.17,70.9,64,36,1.68,NZ,1609724459
cidreira,-30.18,-50.21,73.92,71,0,23.11,BR,1609724459
bengkulu,-3.8,102.27,82.0,61,49,3.29,ID,1609724372
vao,-22.67,167.48,79.92,81,99,8.52,NC,1609724856
faya,18.39,42.45,51.8,81,0,0.47,SA,1609724616
khash,28.22,61.22,29.59,60,0,5.28,IR,1609724856
pavilosta,56.89,21.19,30.2,100,100,2.24,LV,1609724856
todos santos,23.45,-110.22,66.0,70,0,4.32,MX,1609724857
praia da vitoria,38.73,-27.07,59.0,100,75,33.06,PT,1609724857
buenaventura,3.88,-77.03,64.0,78,95,1.83,CO,1609724857
richards bay,-28.78,32.04,71.29,93,1,6.06,ZA,1609724828
porbandar,21.64,69.61,60.67,53,0,11.63,IN,1609724858
ponta delgada,37.73,-25.67,59.0,93,75,25.28,PT,1609724858
nacala,-14.54,40.67,75.25,90,99,4.65,MZ,1609724858
taltal,-25.4,-70.48,63.43,79,16,2.08,CL,1609724858
konstantinovka,49.62,127.98,-10.16,83,0,2.39,RU,1609724858
abdanan,32.99,47.42,46.11,55,41,3.27,IR,1609724859
mahajanga,-15.72,46.32,75.2,78,40,5.82,MG,1609724674
kralendijk,12.15,-68.27,77.0,61,0,9.17,BQ,1609724859
bocas del toro,9.33,-82.25,66.0,81,24,3.0,PA,1609724614
karia,11.73,11.16,70.2,23,0,6.96,NG,1609724860
wilmington island,32.0,-80.97,54.0,81,1,6.93,US,1609724860
buraydah,26.33,43.98,59.0,100,75,4.7,SA,1609724463
qasigiannguit,68.82,-51.19,19.4,73,100,13.87,GL,1609724860
chengzihe,45.33,131.07,-2.7,86,0,7.4,CN,1609724860
batagay-alyta,67.8,130.41,-21.77,85,100,1.21,RU,1609724861
general roca,-39.03,-67.58,73.4,64,0,13.87,AR,1609724861
kushima,31.46,131.23,48.2,67,40,4.7,JP,1609724464
sorland,67.67,12.69,42.58,74,100,21.54,NO,1609724465
pangnirtung,66.15,-65.71,-8.01,85,100,1.07,CA,1609724465
blyth,55.13,-1.51,41.0,67,98,11.41,GB,1609724862
banyo,6.75,11.82,66.02,32,0,3.44,CM,1609724862
lubango,-14.92,13.49,57.22,81,100,4.34,AO,1609724862
ivaipora,-24.25,-51.68,64.33,94,0,8.43,BR,1609724863
cukai,4.25,103.42,71.6,100,40,4.7,MY,1609724863
atherton,53.52,-2.49,37.0,78,0,1.99,GB,1609724863
tyubuk,56.06,60.94,5.52,94,100,9.78,RU,1609724863
kuah,6.33,99.84,80.6,88,20,9.17,MY,1609724863
linjiang,41.81,126.91,9.81,74,70,3.94,CN,1609724467
flinders,-34.58,150.86,82.0,75,100,1.99,AU,1609724467
nogent-sur-oise,49.27,2.47,36.0,94,75,10.29,FR,1609724864
beloha,-25.17,45.05,72.16,64,0,9.31,MG,1609724467
umuarama,-23.77,-53.33,72.19,72,0,8.19,BR,1609724865
pevek,69.7,170.31,-17.7,89,66,7.05,RU,1609724468
port lincoln,-34.73,135.87,65.48,66,94,19.3,AU,1609724468
